Timestamp [us],RTC Count,Notes,State To Process,Next State
1678380427394737,-1,Restarted! | ,CONFIG,START
1678380428394803,-1,,START,DEPLOY
1678380429394879,-1,,DEPLOY,DEPLOY
1678380430394960,-1,,DEPLOY,DEPLOY
1678380431395040,-1,,DEPLOY,DEPLOY
1678380432395123,-1,,DEPLOY,DEPLOY
1678380433395189,-1,,DEPLOY,DEPLOY
1678380434395255,-1,,DEPLOY,DEPLOY
1678380435395320,-1,,DEPLOY,DEPLOY
1678380436395387,-1,,DEPLOY,DEPLOY
1678380437395452,-1,,DEPLOY,DEPLOY
1678380438395518,-1,,DEPLOY,DEPLOY
1678380439395583,-1,,DEPLOY,DEPLOY
1678380440395649,-1,,DEPLOY,DEPLOY
1678380441395714,-1,,DEPLOY,DEPLOY
1678380442395866,-1,,DEPLOY,DEPLOY
1678380443395945,-1,,DEPLOY,DEPLOY
1678380444396025,-1,,DEPLOY,DEPLOY
1678380445396092,-1,,DEPLOY,DEPLOY
1678380446396170,-1,,DEPLOY,DEPLOY
1678380447396252,-1,,DEPLOY,DEPLOY
1678380448396318,-1,,DEPLOY,DEPLOY
1678380449396383,-1,,DEPLOY,DEPLOY
1678380450396449,-1,,DEPLOY,DEPLOY
1678380451396514,-1,,DEPLOY,DEPLOY
1678380452396584,-1,,DEPLOY,DEPLOY
1678380453396653,-1,,DEPLOY,DEPLOY
1678380454396717,-1,,DEPLOY,DEPLOY
1678380455396794,-1,,DEPLOY,DEPLOY
1678380456396859,-1,,DEPLOY,DEPLOY
1678380457396934,-1,,DEPLOY,DEPLOY
1678380458397015,-1,,DEPLOY,DEPLOY
1678380459397092,-1,,DEPLOY,DEPLOY
1678380460397149,-1,,DEPLOY,DEPLOY
1678380461397228,-1,,DEPLOY,DEPLOY
1678380462397315,-1,,DEPLOY,DEPLOY
1678380463397379,-1,,DEPLOY,DEPLOY
1678380464397443,-1,,DEPLOY,DEPLOY
1678380465397506,-1,,DEPLOY,DEPLOY
1678380466397581,-1,,DEPLOY,DEPLOY
1678380467397654,-1,,DEPLOY,DEPLOY
1678380468397721,-1,,DEPLOY,DEPLOY
1678380469397786,-1,,DEPLOY,DEPLOY
1678380470397850,-1,,DEPLOY,DEPLOY
1678380471397918,-1,,DEPLOY,DEPLOY
1678380472398011,-1,,DEPLOY,DEPLOY
