Timestamp [us],RTC Count,Notes,CPU all [%],CPU 0 [%],CPU 1 [%],CPU 2 [%],CPU 3 [%],Audio SPI CPU,Audio Write CPU,ECG GetData CPU,ECG WriteData CPU,IMU CPU,Light CPU,PressureTemp CPU,BoardTemp CPU,Bat CPU,Recovery CPU,FSM CPU,Commands CPU,SysMonitor CPU,GoPros CPU,RAM Free [B],RAM Free [%],Virtual Memory Used [B],Virtual Memory Used [%]
1678380427395440,-1,Restarted! | ,9.80,25.00,14.29,7.69,0.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,201695232,5.07,3776978944,92.49
1678380432395518,-1,,7.10,10.91,4.23,3.01,10.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,201420800,5.06,3777253376,92.50
1678380437395628,-1,,4.55,8.32,1.01,2.02,7.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,201420800,5.06,3777253376,92.50
1678380442395695,-1,,6.00,6.69,3.95,2.01,11.40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,201420800,5.06,3777253376,92.50
1678380447395774,-1,,8.09,11.90,0.40,5.43,14.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,201527296,5.07,3777146880,92.50
1678380452395841,-1,,5.65,9.60,1.40,2.61,9.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,201420800,5.06,3777253376,92.50
1678380457395909,-1,,5.85,8.05,6.37,1.61,7.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,201527296,5.07,3777146880,92.50
1678380462395987,-1,,7.06,11.48,3.61,7.23,6.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,201015296,5.05,3777658880,92.51
1678380467396052,-1,,5.92,10.80,2.01,4.02,6.64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,207724544,5.22,3770949632,92.35
1678380472396120,-1,,15.03,12.68,4.91,7.40,34.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,168558592,4.24,3810115584,93.30
1678380477396187,-1,,8.61,7.20,1.61,2.64,22.80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,205975552,5.18,3772698624,92.39
1678380482396265,-1,,8.17,11.27,3.41,9.18,8.70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,206290944,5.18,3772383232,92.38
